i,x,y
1,0.0778,3.7089
2,0.4630,3.3843
3,0.5181,2.4759
4,1.0643,3.3936
5,1.4781,4.0705
6,1.8337,2.7320
7,2.0102,2.7230
8,2.0549,2.6455
9,2.2695,2.7662
10,3.0297,2.5158
11,3.1401,2.9078
12,3.4909,0.5748
13,3.5422,-1.3952
14,4.3460,0.8839
15,4.3479,0.0896
16,4.8052,-0.4859
17,4.9020,-0.4172
18,5.4259,-1.6543
19,5.6991,-2.5877
20,6.0440,-0.8624
21,6.6732,-1.3749
22,6.8183,-4.0045
23,6.9999,-0.4315
24,7.5239,-3.4679
25,7.9347,-3.1741
26,8.2205,-2.2187
27,8.8761,-4.0368
28,8.8808,-5.6267
29,9.2472,-5.4182
30,9.5017,-7.0472
31,9.7113,-4.5201
32,9.9432,-6.3388
33,10.0983,-4.7688
34,10.5046,-4.8991
35,10.7587,-6.0873
36,11.1043,-7.8360
37,11.3751,-8.2262
38,11.6638,-6.6031
39,11.9819,-7.0533
40,12.1166,-6.8675
41,12.6993,-5.3862
42,12.7493,-7.7566
43,13.4653,-7.0443
44,13.6230,-9.6246
45,14.1690,-8.1518
